Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
344,tt0368909,2018-04-27,2018-04-27,,"Ong-Bak - Nato per combattere","Ong-Bak",https://www.imdb.com/title/tt0368909/,Film,7.1,108,2003,"Azione, Poliziesco, Thriller",81039,2004-08-06,"Prachya Pinkaew",,
345,tt0785035,2018-04-27,2018-04-27,,"Ong Bak 2 - La nascita del dragone","Ong Bak 2",https://www.imdb.com/title/tt0785035/,Film,6.2,98,2008,"Azione",32941,2010-01-08,"Tony Jaa, Panna Rittikrai",,
346,tt0427954,2018-04-27,2018-04-27,,"The Protector - La legge del Muay Thai","Tom yum goong",https://www.imdb.com/title/tt0427954/,Film,7.0,111,2005,"Azione, Poliziesco, Drammatico, Thriller",40397,2007-08-03,"Prachya Pinkaew",,
347,tt0120363,2018-05-01,2018-05-01,,"Toy Story 2 - Woody e Buzz alla riscossa","Toy Story 2",https://www.imdb.com/title/tt0120363/,Film,7.9,92,1999,"Animazione, Avventura, Commedia, Per famiglie, Fantastico",661670,1999-12-02,"John Lasseter, Ash Brannon, Lee Unkrich",,
348,tt1979376,2018-05-01,2018-05-01,,"Toy Story 4","Toy Story 4",https://www.imdb.com/title/tt1979376/,Film,7.6,100,2019,"Animazione, Avventura, Commedia, Per famiglie, Fantastico",308938,2019-06-26,"Josh Cooley",,
349,tt0120689,2018-05-01,2018-05-01,,"Il miglio verde","The Green Mile",https://www.imdb.com/title/tt0120689/,Film,8.6,189,1999,"Poliziesco, Drammatico, Fantastico, Giallo",1540503,2000-03-10,"Frank Darabont",,
350,tt0021749,2018-05-01,2018-05-01,,"Luci della città","City Lights",https://www.imdb.com/title/tt0021749/,Film,8.5,87,1931,"Commedia, Drammatico, Sentimentale",214847,1931-04-02,"Charles Chaplin",,
351,tt0027977,2018-05-01,2018-05-01,,"Tempi moderni","Modern Times",https://www.imdb.com/title/tt0027977/,Film,8.5,87,1936,"Commedia, Drammatico, Sentimentale",283159,1937-03-12,"Charles Chaplin",,
352,tt0103064,2018-05-01,2018-05-01,,"Terminator 2 - Il giorno del giudizio","Terminator 2: Judgment Day",https://www.imdb.com/title/tt0103064/,Film,8.6,137,1991,"Azione, Avventura, Fantascienza",1270558,1991-12-19,"James Cameron",,
353,tt0032553,2018-05-01,2018-05-01,,"Il grande dittatore","The Great Dictator",https://www.imdb.com/title/tt0032553/,Film,8.4,125,1940,"Commedia, Drammatico, Guerra",257502,1945-06-25,"Charles Chaplin",,
354,tt0095765,2018-05-01,2018-05-01,,"Nuovo Cinema Paradiso","Nuovo Cinema Paradiso",https://www.imdb.com/title/tt0095765/,Film,8.5,174,1988,"Drammatico, Sentimentale",314108,1988-11-17,"Giuseppe Tornatore",,
355,tt0043014,2018-05-01,2018-05-01,,"Viale del tramonto","Sunset Blvd.",https://www.imdb.com/title/tt0043014/,Film,8.4,110,1950,"Drammatico, Noir",258775,1951-03-06,"Billy Wilder",,
356,tt0095327,2018-05-01,2018-05-01,,"Una tomba per le lucciole","Hotaru no haka",https://www.imdb.com/title/tt0095327/,Film,8.5,88,1988,"Animazione, Drammatico, Guerra",375631,2015-11-10,"Isao Takahata",,
357,tt0405094,2018-05-01,2018-05-01,,"Le vite degli altri","Das Leben der Anderen",https://www.imdb.com/title/tt0405094/,Film,8.4,137,2006,"Drammatico, Giallo, Thriller",439959,2007-04-06,"Florian Henckel von Donnersmarck",,
358,tt0119698,2018-05-01,2018-05-01,,"Principessa Mononoke","Mononoke-hime",https://www.imdb.com/title/tt0119698/,Film,8.3,133,1997,"Animazione, Avventura, Fantastico",477095,2000-05-19,"Hayao Miyazaki",,
359,tt0051201,2018-05-01,2018-05-01,,"Testimone d'accusa","Witness for the Prosecution",https://www.imdb.com/title/tt0051201/,Film,8.4,116,1957,"Poliziesco, Drammatico, Giallo, Thriller",159662,1958-03-03,"Billy Wilder",,
360,tt0082096,2018-05-01,2018-05-01,,"U-Boot 96","Das Boot",https://www.imdb.com/title/tt0082096/,Film,8.4,149,1981,"Drammatico, Guerra",285714,1982-03-18,"Wolfgang Petersen",,
361,tt5311514,2018-05-01,2018-05-01,,"Your Name.","Kimi no na wa.",https://www.imdb.com/title/tt5311514/,Film,8.4,106,2016,"Animazione, Drammatico, Fantastico, Sentimentale",382116,2017-01-23,"Makoto Shinkai",,
362,tt0012349,2018-05-01,2018-05-01,,"Il monello","The Kid",https://www.imdb.com/title/tt0012349/,Film,8.2,68,1921,"Commedia, Drammatico, Per famiglie",144477,1923-11-26,"Charles Chaplin",,
363,tt0363163,2018-05-01,2018-05-01,,"La caduta - Gli ultimi giorni di Hitler","Der Untergang",https://www.imdb.com/title/tt0363163/,Film,8.2,156,2004,"Biografico, Drammatico, Storico, Guerra",397150,2005-04-29,"Oliver Hirschbiegel",,
364,tt0040897,2018-05-01,2018-05-01,,"Il tesoro della Sierra Madre","The Treasure of the Sierra Madre",https://www.imdb.com/title/tt0040897/,Film,8.2,126,1948,"Avventura, Drammatico, Western",140337,1948-11-20,"John Huston",,
365,tt0044741,2018-05-01,2018-05-01,,"Vivere","Ikiru",https://www.imdb.com/title/tt0044741/,Film,8.3,143,1952,"Drammatico",100851,1952-10-09,"Akira Kurosawa",,
366,tt0015864,2018-05-01,2018-05-01,,"La febbre dell'oro","The Gold Rush",https://www.imdb.com/title/tt0015864/,Film,8.1,95,1925,"Avventura, Commedia, Drammatico, Sentimentale, Western",127188,1925-10-23,"Charles Chaplin",,
367,tt0017925,2018-05-01,2018-05-01,,"Come vinsi la guerra","The General",https://www.imdb.com/title/tt0017925/,Film,8.1,78,1926,"Azione, Avventura, Commedia, Drammatico, Guerra",105272,1927-03-30,"Clyde Bruckman, Buster Keaton",,
368,tt0015324,2018-05-01,2018-05-01,,"La palla n° 13","Sherlock Jr.",https://www.imdb.com/title/tt0015324/,Film,8.1,45,1924,"Azione, Commedia, Sentimentale",64730,1924-05-11,"Buster Keaton",,
369,tt0018455,2018-05-01,2018-05-01,,"Aurora","Sunrise: A Song of Two Humans",https://www.imdb.com/title/tt0018455/,Film,8.1,94,1927,"Drammatico, Sentimentale",56304,1928-03-31,"F.W. Murnau",,
370,tt0079470,2018-05-01,2018-05-01,,"Brian di Nazareth","Monty Python's Life of Brian",https://www.imdb.com/title/tt0079470/,Film,8.0,94,1979,"Commedia",433176,1991-03-28,"Terry Jones",,
371,tt0025316,2018-05-01,2018-05-01,,"Accadde una notte","It Happened One Night",https://www.imdb.com/title/tt0025316/,Film,8.1,105,1934,"Commedia, Sentimentale",118855,1934-02-22,"Frank Capra",,
372,tt1028532,2018-05-01,2018-05-01,,"Hachiko - Il tuo migliore amico","Hachi: A Dog's Tale",https://www.imdb.com/title/tt1028532/,Film,8.1,93,2009,"Biografico, Drammatico, Per famiglie",338743,2009-12-30,"Lasse Hallström",,
373,tt0338564,2018-05-01,2018-05-01,,"Infernal Affairs","Mou gaan dou",https://www.imdb.com/title/tt0338564/,Film,8.0,101,2002,"Poliziesco, Drammatico, Giallo, Thriller",137206,2002-12-12,"Wai Keung Lau, Alan Mak",,
374,tt0101414,2018-05-01,2018-05-01,,"La bella e la bestia","Beauty and the Beast",https://www.imdb.com/title/tt0101414/,Film,8.0,84,1991,"Animazione, Per famiglie, Fantastico, Musical, Sentimentale",501785,1992-12-04,"Gary Trousdale, Kirk Wise",,
375,tt0772105,2018-05-18,2018-05-18,,"L'amico di famiglia","L'amico di famiglia",https://www.imdb.com/title/tt0772105/,Film,7.1,102,2006,"Drammatico",4738,2006-11-10,"Paolo Sorrentino",,
376,tt1440345,2018-05-18,2018-05-18,,"This Must Be the Place","This Must Be the Place",https://www.imdb.com/title/tt1440345/,Film,6.7,118,2011,"Avventura, Commedia, Drammatico",38414,2011-10-14,"Paolo Sorrentino",,
377,tt3312830,2018-05-18,2018-05-18,,"Youth - La giovinezza","Youth",https://www.imdb.com/title/tt3312830/,Film,7.3,124,2015,"Commedia, Drammatico, Musica, Sentimentale",87723,2015-05-21,"Paolo Sorrentino",,
378,tt0360556,2018-05-20,2018-05-20,,"Fahrenheit 451","Fahrenheit 451",https://www.imdb.com/title/tt0360556/,Film,5.0,100,2018,"Drammatico, Fantascienza, Thriller",25482,2018-05-20,"Ramin Bahrani",,
379,tt5463162,2018-05-20,2018-05-20,,"Deadpool 2","Deadpool 2",https://www.imdb.com/title/tt5463162/,Film,7.6,119,2018,"Azione, Avventura, Commedia, Fantascienza",735234,2018-05-15,"David Leitch",,
380,tt4698584,2018-05-21,2018-05-21,,"Neruda","Neruda",https://www.imdb.com/title/tt4698584/,Film,6.8,107,2016,"Biografico, Poliziesco, Drammatico, Storico, Thriller",11446,2016-10-13,"Pablo Larraín",,
381,tt4375438,2018-05-21,2018-05-21,,"Il club","El club",https://www.imdb.com/title/tt4375438/,Film,7.2,98,2015,"Drammatico, Giallo, Thriller",12563,2016-02-25,"Pablo Larraín",,
382,tt2059255,2018-05-21,2018-05-21,,"No - I giorni dell'arcobaleno","No",https://www.imdb.com/title/tt2059255/,Film,7.4,118,2012,"Drammatico, Storico",27026,2013-05-09,"Pablo Larraín",,
383,tt3881784,2018-05-22,2018-05-22,,"Stronger - Io sono più forte","Stronger",https://www.imdb.com/title/tt3881784/,Film,6.9,119,2017,"Biografico, Drammatico",53216,2018-07-04,"David Gordon Green",,
384,tt0095801,2018-06-18,2018-06-18,,"Bagdad Cafè","Out of Rosenheim",https://www.imdb.com/title/tt0095801/,Film,7.4,95,1987,"Commedia, Drammatico",16402,1987-11-12,"Percy Adlon",,
385,tt0493464,2018-06-27,2018-06-27,,"Wanted - Scegli il tuo destino","Wanted",https://www.imdb.com/title/tt0493464/,Film,6.7,110,2008,"Azione, Poliziesco, Thriller",426097,2008-07-02,"Timur Bekmambetov",,
386,tt3741834,2018-06-28,2018-06-28,,"Lion - La strada verso casa","Lion",https://www.imdb.com/title/tt3741834/,Film,8.0,118,2016,"Biografico, Drammatico",264461,2016-12-22,"Garth Davis",,
387,tt0120885,2018-07-08,2018-07-08,,"Sesso & potere","Wag the Dog",https://www.imdb.com/title/tt0120885/,Film,7.1,97,1997,"Commedia, Drammatico",92502,1998-04-10,"Barry Levinson",,
388,tt0084805,2018-07-08,2018-07-08,,"Tootsie","Tootsie",https://www.imdb.com/title/tt0084805/,Film,7.4,116,1982,"Commedia, Drammatico, Sentimentale",121159,1983-04-22,"Sydney Pollack",,
389,tt0099422,2018-07-08,2018-07-08,,"Dick Tracy","Dick Tracy",https://www.imdb.com/title/tt0099422/,Film,6.2,105,1990,"Azione, Commedia, Poliziesco, Musica, Sentimentale, Thriller",69413,1990-10-04,"Warren Beatty",,
390,tt0105323,2018-07-08,2018-07-08,,"Scent of a Woman - Profumo di donna","Scent of a Woman",https://www.imdb.com/title/tt0105323/,Film,8.0,156,1992,"Drammatico",364654,1993-02-26,"Martin Brest",,
391,tt0118971,2018-07-08,2018-07-08,,"L'avvocato del diavolo","The Devil's Advocate",https://www.imdb.com/title/tt0118971/,Film,7.5,144,1997,"Drammatico, Fantastico, Giallo, Thriller",438432,1997-12-19,"Taylor Hackford",,
392,tt1637688,2018-07-12,2018-07-12,,"In Time","In Time",https://www.imdb.com/title/tt1637688/,Film,6.7,109,2011,"Azione, Fantascienza, Thriller",479102,2012-02-17,"Andrew Niccol",,
393,tt0399295,2018-07-12,2018-07-12,,"Lord of War","Lord of War",https://www.imdb.com/title/tt0399295/,Film,7.6,122,2005,"Poliziesco, Drammatico",356001,2005-11-18,"Andrew Niccol",,
394,tt0258153,2018-07-12,2018-07-12,,"S1m0ne","S1m0ne",https://www.imdb.com/title/tt0258153/,Film,6.1,117,2002,"Commedia, Drammatico, Fantascienza",64006,2002-11-15,"Andrew Niccol",,
395,tt0082934,2018-07-12,2018-07-12,,"Il postino suona sempre due volte","The Postman Always Rings Twice",https://www.imdb.com/title/tt0082934/,Film,6.6,122,1981,"Poliziesco, Drammatico, Sentimentale, Thriller",27468,1981-10-02,"Bob Rafelson",,
396,tt0122690,2018-07-12,2018-07-12,,"Ronin","Ronin",https://www.imdb.com/title/tt0122690/,Film,7.2,122,1998,"Azione, Poliziesco, Thriller",206203,1999-01-08,"John Frankenheimer",,
397,tt0118564,2018-07-14,2018-07-14,,"Affliction","Affliction",https://www.imdb.com/title/tt0118564/,Film,6.9,114,1997,"Drammatico, Giallo, Thriller",21314,1999-04-02,"Paul Schrader",,
398,tt4054654,2018-07-14,2018-07-14,,"Cane mangia cane","Dog Eat Dog",https://www.imdb.com/title/tt4054654/,Film,4.8,93,2016,"Azione, Poliziesco, Thriller",10377,2017-07-13,"Paul Schrader",,
399,tt3640424,2018-07-14,2018-07-14,,"Allied: Un'ombra nascosta","Allied",https://www.imdb.com/title/tt3640424/,Film,7.1,124,2016,"Azione, Drammatico, Sentimentale, Thriller, Guerra",178563,2017-01-12,"Robert Zemeckis",,
400,tt0292963,2018-07-19,2018-07-19,,"Onora il padre e la madre","Before the Devil Knows You're Dead",https://www.imdb.com/title/tt0292963/,Film,7.3,117,2007,"Poliziesco, Drammatico, Thriller",120680,2008-03-14,"Sidney Lumet",,
401,tt0072890,2018-07-19,2018-07-19,,"Quel pomeriggio di un giorno da cani","Dog Day Afternoon",https://www.imdb.com/title/tt0072890/,Film,8.0,125,1975,"Biografico, Poliziesco, Drammatico, Thriller",289198,1976-01-15,"Sidney Lumet",,
402,tt0071877,2018-07-19,2018-07-19,,"Assassinio sull'Orient Express","Murder on the Orient Express",https://www.imdb.com/title/tt0071877/,Film,7.2,128,1974,"Poliziesco, Drammatico, Giallo, Thriller",73873,1974-12-21,"Sidney Lumet",,
403,tt0050083,2018-07-19,2018-07-19,,"La parola ai giurati","12 Angry Men",https://www.imdb.com/title/tt0050083/,Film,9.0,96,1957,"Poliziesco, Drammatico",969618,1957-09-04,"Sidney Lumet",,
404,tt0074958,2018-07-19,2018-07-19,,"Quinto potere","Network",https://www.imdb.com/title/tt0074958/,Film,8.1,121,1976,"Drammatico",184045,1977-03-17,"Sidney Lumet",,
405,tt0084855,2018-07-19,2018-07-19,,"Il verdetto","The Verdict",https://www.imdb.com/title/tt0084855/,Film,7.7,129,1982,"Drammatico",49984,1983-02-25,"Sidney Lumet",,
406,tt0107120,2018-09-23,2018-09-23,,"Hocus Pocus","Hocus Pocus",https://www.imdb.com/title/tt0107120/,Film,6.9,96,1993,"Commedia, Per famiglie, Fantastico",171622,1994-01-14,"Kenny Ortega",,
407,tt0279513,2018-09-23,2018-09-23,,"Fantasmi alla riscossa","When Good Ghouls Go Bad",https://www.imdb.com/title/tt0279513/,Film per la TV,6.2,93,2001,"Commedia, Fantastico, Per famiglie",1521,2001-10-21,"Patrick Read Johnson",,
408,tt0837562,2018-09-23,2018-09-23,,"Hotel Transylvania","Hotel Transylvania",https://www.imdb.com/title/tt0837562/,Film,7.0,91,2012,"Animazione, Commedia, Per famiglie, Fantastico",309200,2012-11-08,"Genndy Tartakovsky",,
409,tt0385880,2018-09-23,2018-09-23,,"Monster House","Monster House",https://www.imdb.com/title/tt0385880/,Film,6.7,91,2006,"Animazione, Commedia, Per famiglie, Giallo",153321,2006-10-13,"Gil Kenan",,
410,tt0100944,2018-09-23,2018-09-23,,"Chi ha paura delle streghe?","The Witches",https://www.imdb.com/title/tt0100944/,Film,6.8,91,1990,"Avventura, Commedia, Per famiglie, Fantastico, Horror, Giallo",58802,1990-08-25,"Nicolas Roeg",,
411,tt0267913,2018-09-23,2018-09-23,,"Scooby-Doo","Scooby-Doo",https://www.imdb.com/title/tt0267913/,Film,5.4,89,2002,"Avventura, Commedia, Per famiglie, Fantastico, Giallo",138559,2002-06-28,"Raja Gosnell",,
412,tt1051904,2018-09-23,2018-09-23,,"Piccoli brividi","Goosebumps",https://www.imdb.com/title/tt1051904/,Film,6.3,103,2015,"Animazione, Avventura, Commedia, Per famiglie, Fantastico, Horror, Thriller",101505,2016-01-21,"Rob Letterman",,
413,tt0104070,2018-09-23,2018-09-23,,"La morte ti fa bella","Death Becomes Her",https://www.imdb.com/title/tt0104070/,Film,6.7,104,1992,"Commedia, Fantastico, Horror",149031,1992-12-18,"Robert Zemeckis",,
414,tt1623288,2018-09-23,2018-09-23,,"ParaNorman","ParaNorman",https://www.imdb.com/title/tt1623288/,Film,7.0,92,2012,"Animazione, Avventura, Commedia, Per famiglie, Fantastico, Giallo, Fantascienza",116651,2012-10-11,"Chris Butler, Sam Fell",,
415,tt0100681,2018-10-02,2018-10-02,,"Stanno tutti bene","Stanno tutti bene",https://www.imdb.com/title/tt0100681/,Film,7.6,118,1990,"Drammatico",4848,1990-10-25,"Giuseppe Tornatore",,
416,tt0120731,2018-10-02,2018-10-02,,"La leggenda del pianista sull'oceano","La leggenda del pianista sull'oceano",https://www.imdb.com/title/tt0120731/,Film,8.0,169,1998,"Drammatico, Musica, Sentimentale",73051,1998-10-28,"Giuseppe Tornatore",,
417,tt0494271,2018-10-02,2018-10-02,,"La sconosciuta","La sconosciuta",https://www.imdb.com/title/tt0494271/,Film,7.4,118,2006,"Drammatico, Giallo, Thriller",16708,2006-10-20,"Giuseppe Tornatore",,
418,tt0254686,2018-10-20,2018-10-20,,"La pianista","La pianiste",https://www.imdb.com/title/tt0254686/,Film,7.5,131,2001,"Drammatico, Musica, Sentimentale",79118,2001-10-26,"Michael Haneke",,
419,tt3716530,2018-10-20,2018-10-20,,"Elle","Elle",https://www.imdb.com/title/tt3716530/,Film,7.1,130,2016,"Azione, Poliziesco, Drammatico, Giallo, Sentimentale, Thriller",74103,2017-03-23,"Paul Verhoeven",,
420,tt0120201,2018-10-20,2018-10-20,,"Starship Troopers - Fanteria dello spazio","Starship Troopers",https://www.imdb.com/title/tt0120201/,Film,7.3,129,1997,"Azione, Avventura, Fantascienza, Thriller",342877,1998-02-27,"Paul Verhoeven",,
421,tt0100802,2018-10-20,2018-10-20,,"Atto di forza","Total Recall",https://www.imdb.com/title/tt0100802/,Film,7.5,113,1990,"Azione, Avventura, Fantascienza",377702,1990-12-13,"Paul Verhoeven",,
422,tt0093870,2018-10-20,2018-10-20,,"RoboCop","RoboCop",https://www.imdb.com/title/tt0093870/,Film,7.6,102,1987,"Azione, Poliziesco, Fantascienza, Thriller",305184,1987-10-30,"Paul Verhoeven",,
423,tt0080661,2018-10-26,2018-10-26,,"Vestito per uccidere","Dressed to Kill",https://www.imdb.com/title/tt0080661/,Film,7.0,104,1980,"Poliziesco, Drammatico, Giallo, Thriller",55443,1981-02-06,"Brian De Palma",,
424,tt0054413,2018-11-10,2018-11-10,,"Tutti a casa","Tutti a casa",https://www.imdb.com/title/tt0054413/,Film,7.7,122,1960,"Commedia, Drammatico, Guerra",1639,1960-10-28,"Luigi Comencini",,
425,tt0046250,2018-11-10,2018-11-10,,"Vacanze romane","Roman Holiday",https://www.imdb.com/title/tt0046250/,Film,8.0,118,1953,"Commedia, Drammatico, Sentimentale",157149,1953-12-23,"William Wyler",,
426,tt0083549,2018-11-11,2018-11-11,,"Amici miei - Atto II°","Amici miei - Atto II°",https://www.imdb.com/title/tt0083549/,Film,7.6,127,1982,"Commedia, Drammatico",3550,1982-12-22,"Mario Monicelli",,
427,tt0091369,2018-12-26,2018-12-26,,"Labyrinth - Dove tutto è possibile","Labyrinth",https://www.imdb.com/title/tt0091369/,Film,7.3,101,1986,"Avventura, Per famiglie, Fantastico, Musical",162474,1986-12-23,"Jim Henson",,
428,tt6121444,2018-12-30,2018-12-30,,"Mektoub, My Love: Canto Uno","Mektoub, My Love: Canto Uno",https://www.imdb.com/title/tt6121444/,Film,6.5,181,2017,"Commedia, Sentimentale",4535,2018-05-24,"Abdellatif Kechiche",,
429,tt5742374,2018-12-30,2018-12-30,,"A Beautiful Day - You Were Never Really Here","You Were Never Really Here",https://www.imdb.com/title/tt5742374/,Film,6.7,89,2017,"Poliziesco, Drammatico, Thriller",134548,2018-05-01,"Lynne Ramsay",,
430,tt9015532,2018-12-30,2018-12-30,,"Santiago, Italia","Santiago, Italia",https://www.imdb.com/title/tt9015532/,Film,7.2,80,2018,"Documentario, Storico",1072,2018-12-06,"Nanni Moretti, Jeffrey B. Mallian",,
431,tt5610554,2018-12-30,2018-12-30,,"Tully","Tully",https://www.imdb.com/title/tt5610554/,Film,6.9,95,2018,"Commedia, Drammatico, Giallo",65911,2018-06-28,"Jason Reitman",,
432,tt0101700,2019-01-13,2019-01-13,,"Delicatessen","Delicatessen",https://www.imdb.com/title/tt0101700/,Film,7.5,99,1991,"Commedia, Poliziesco",93702,1992-02,"Marc Caro, Jean-Pierre Jeunet",,
433,tt5607714,2019-01-13,2019-01-13,,"Corpo e anima","Teströl és lélekröl",https://www.imdb.com/title/tt5607714/,Film,7.5,116,2017,"Drammatico, Fantastico, Giallo, Sentimentale",31278,2018-01-04,"Ildikó Enyedi",,
434,tt6892340,2019-01-13,2019-01-13,,"Sono tornato","Sono tornato",https://www.imdb.com/title/tt6892340/,Film,6.2,100,2018,"Commedia, Drammatico",2070,2018-02-01,"Luca Miniero",,
435,tt1226236,2019-01-14,2019-01-14,,"Io sono l'amore","Io sono l'amore",https://www.imdb.com/title/tt1226236/,Film,7.0,120,2009,"Drammatico, Sentimentale",25462,2010-03-19,"Luca Guadagnino",,
436,tt0443584,2019-01-14,2019-01-14,,"Melissa P.","Melissa P.",https://www.imdb.com/title/tt0443584/,Film,4.7,100,2005,"Drammatico",7585,2005-11-18,"Luca Guadagnino",,
437,tt0167351,2019-01-14,2019-01-14,,"The Protagonists","The Protagonists",https://www.imdb.com/title/tt0167351/,Film,5.3,92,1999,"Poliziesco, Thriller",999,1999-09-10,"Luca Guadagnino",,
438,tt6443294,2019-01-23,2019-01-23,,"Blaze","Blaze",https://www.imdb.com/title/tt6443294/,Film,6.6,129,2018,"Biografico, Drammatico, Musica",3926,2018-08-17,"Ethan Hawke",,
439,tt3850214,2019-02-02,2019-02-02,,"Dope: Follia e riscatto","Dope",https://www.imdb.com/title/tt3850214/,Film,7.2,103,2015,"Avventura, Commedia, Poliziesco, Drammatico",91480,2015-06-19,"Rick Famuyiwa",,
440,tt1212428,2019-02-02,2019-02-02,,"Civiltà perduta","The Lost City of Z",https://www.imdb.com/title/tt1212428/,Film,6.6,141,2016,"Avventura, Biografico, Drammatico, Storico",105009,2017-06-22,"James Gray",,
441,tt0368447,2019-02-02,2019-02-02,,"The Village","The Village",https://www.imdb.com/title/tt0368447/,Film,6.6,108,2004,"Drammatico, Giallo, Thriller",294676,2004-10-29,"M. Night Shyamalan",,
442,tt0393109,2019-02-02,2019-02-02,,"Brick - Dose mortale","Brick",https://www.imdb.com/title/tt0393109/,Film,7.1,110,2005,"Poliziesco, Drammatico, Giallo, Thriller",113618,2006-04-14,"Rian Johnson",,
443,tt5962210,2019-02-02,2019-02-02,,"Ingrid va a ovest","Ingrid Goes West",https://www.imdb.com/title/tt5962210/,Film,6.6,98,2017,"Commedia, Drammatico, Horror, Thriller",51131,2017-11-07,"Matt Spicer",,
444,tt5613484,2019-02-02,2019-02-02,,"Mid90s","Mid90s",https://www.imdb.com/title/tt5613484/,Film,7.4,85,2018,"Commedia, Drammatico",86655,2018-10-26,"Jonah Hill",,
445,tt0076162,2019-02-02,2019-02-02,,"Hausu","Hausu",https://www.imdb.com/title/tt0076162/,Film,7.2,88,1977,"Commedia, Horror",38772,1977-07-30,"Nobuhiko Ôbayashi",,
446,tt3072482,2019-02-03,2019-02-03,,"Hardcore!","Hardcore Henry",https://www.imdb.com/title/tt3072482/,Film,6.7,96,2015,"Azione, Avventura, Fantascienza, Thriller",107855,2016-04-13,"Ilya Naishuller",,
447,tt6266538,2019-02-26,2019-02-26,,"Vice - L'uomo nell'ombra","Vice",https://www.imdb.com/title/tt6266538/,Film,7.2,132,2018,"Biografico, Commedia, Drammatico, Storico",173218,2019-01-03,"Adam McKay",,
448,tt4595882,2019-02-26,2019-02-26,,"Copia originale","Can You Ever Forgive Me?",https://www.imdb.com/title/tt4595882/,Film,7.1,106,2018,"Biografico, Commedia, Poliziesco, Drammatico",58406,2019-02-21,"Marielle Heller",,
449,tt3750872,2019-02-26,2019-02-26,,"The Wife - Vivere nell'ombra","The Wife",https://www.imdb.com/title/tt3750872/,Film,7.2,99,2017,"Drammatico",44846,2018-10-04,"Björn Runge",,
450,tt6938828,2019-02-26,2019-02-26,,"Van Gogh - Sulla soglia dell'eternità","At Eternity's Gate",https://www.imdb.com/title/tt6938828/,Film,6.9,111,2018,"Biografico, Drammatico, Storico",43635,2019-01-03,"Julian Schnabel",,
451,tt0083946,2019-02-27,2019-02-27,,"Fitzcarraldo","Fitzcarraldo",https://www.imdb.com/title/tt0083946/,Film,7.9,158,1982,"Avventura, Drammatico, Musica",42301,1982-11-23,"Werner Herzog",,
452,tt0057413,2019-02-27,2019-02-27,,"La pantera rosa","The Pink Panther",https://www.imdb.com/title/tt0057413/,Film,7.0,115,1963,"Commedia, Poliziesco, Sentimentale",61096,1963-12-18,"Blake Edwards",,
453,tt0058335,2019-03-03,2019-03-03,,"Matrimonio all'italiana","Matrimonio all'italiana",https://www.imdb.com/title/tt0058335/,Film,7.4,102,1964,"Commedia, Drammatico, Sentimentale",12386,1964-12-19,"Vittorio De Sica",,
454,tt0060121,2019-03-03,2019-03-03,,"Arabesque","Arabesque",https://www.imdb.com/title/tt0060121/,Film,6.4,105,1966,"Azione, Avventura, Commedia, Poliziesco, Drammatico, Giallo, Sentimentale, Thriller",8802,1966-08-18,"Stanley Donen",,
455,tt0118789,2019-03-18,2019-03-18,,"Buffalo '66","Buffalo '66",https://www.imdb.com/title/tt0118789/,Film,7.4,110,1998,"Commedia, Drammatico, Sentimentale",66577,1998-06-02,"Vincent Gallo",,
456,tt0069687,2019-03-19,2019-03-19,,"Alice nelle città","Alice in den Städten",https://www.imdb.com/title/tt0069687/,Film,7.8,113,1974,"Drammatico",14846,1974-05-17,"Wim Wenders",,
457,tt7014006,2019-03-19,2019-03-19,,"Eighth Grade - Terza media","Eighth Grade",https://www.imdb.com/title/tt7014006/,Film,7.3,93,2018,"Commedia, Drammatico",86134,2019-05-06,"Bo Burnham",,
458,tt8075192,2019-03-19,2019-03-19,,"Un affare di famiglia","Manbiki kazoku",https://www.imdb.com/title/tt8075192/,Film,7.9,121,2018,"Poliziesco, Drammatico, Thriller",94037,2018-09-13,"Hirokazu Koreeda",,
459,tt0167404,2019-03-19,2019-03-19,,"The Sixth Sense - Il sesto senso","The Sixth Sense",https://www.imdb.com/title/tt0167404/,Film,8.2,107,1999,"Drammatico, Giallo, Thriller",1131040,1999-10-29,"M. Night Shyamalan",,
460,tt0049406,2019-03-19,2019-03-19,,"Rapina a mano armata","The Killing",https://www.imdb.com/title/tt0049406/,Film,7.9,84,1956,"Poliziesco, Drammatico, Noir, Thriller",104762,1956-09-28,"Stanley Kubrick",,
461,tt0042692,2019-03-19,2019-03-19,,"Luci del varietà","Luci del varietà",https://www.imdb.com/title/tt0042692/,Film,7.1,97,1950,"Drammatico, Musica, Sentimentale",4268,1953-12-17,"Federico Fellini, Alberto Lattuada",,
462,tt0044000,2019-03-19,2019-03-19,,"Lo sceicco bianco","Lo sceicco bianco",https://www.imdb.com/title/tt0044000/,Film,7.2,86,1952,"Commedia, Drammatico, Sentimentale",7447,1955-04-15,"Federico Fellini",,
463,tt0064940,2019-03-19,2019-03-19,,"Fellini - Satyricon","Fellini - Satyricon",https://www.imdb.com/title/tt0064940/,Film,6.8,129,1969,"Drammatico, Fantastico",18045,1969-09-18,"Federico Fellini",,
464,tt0066922,2019-03-19,2019-03-19,,"I clowns","I clowns",https://www.imdb.com/title/tt0066922/,Film per la TV,7.0,92,1970,"Commedia",3236,1970-12-25,"Federico Fellini",,
